customer_id,kota
C001,Makassar
C002,Jakarta
C003,Jakarta
C004,Makassar
C005,Surabaya
C006,Bandung
C007,Bandung
C008,Bandung
C009,Makassar
C010,Jakarta
C011,Makassar
C012,Makassar
C013,Semarang
C014,Jakarta
C015,Semarang
C016,Medan
C017,Jakarta
C018,Jakarta
C019,Jakarta
C020,Bandung
C021,Bandung
C022,Semarang
C023,Semarang
C024,Jakarta
C025,Semarang
C026,Bandung
C027,Makassar
C028,Makassar
C029,Makassar
C030,Semarang
C031,Medan
C032,Bandung
C033,Medan
C034,Semarang
C035,Surabaya
C036,Jakarta
C037,Bandung
C038,Makassar
C039,Medan
C040,Surabaya
C041,Surabaya
C042,Bandung
C043,Bandung
C044,Surabaya
C045,Jakarta
C046,Jakarta
C047,Medan
C048,Jakarta
C049,Surabaya
C050,Surabaya
C051,Semarang
C052,Surabaya
C053,Jakarta
C054,Makassar
C055,Medan
C056,Semarang
C057,Jakarta
C058,Medan
C059,Jakarta
C060,Semarang
C061,Surabaya
C062,Makassar
C063,Semarang
C064,Surabaya
C065,Semarang
C066,Bandung
C067,Makassar
C068,Jakarta
C069,Jakarta
C070,Makassar
C071,Bandung
C072,Surabaya
C073,Jakarta
C074,Bandung
C075,Jakarta
C076,Medan
C077,Surabaya
C078,Medan
C079,Makassar
C080,Surabaya
C081,Bandung
C082,Surabaya
C083,Surabaya
C084,Bandung
C085,Makassar
C086,Surabaya
C087,Makassar
C088,Makassar
C089,Makassar
C090,Jakarta
C091,Semarang
C092,Makassar
C093,Bandung
C094,Semarang
C095,Makassar
C096,Bandung
C097,Bandung
C098,Medan
C099,Medan
C100,Surabaya
