order_id,customer_id,product_id,jumlah,harga_satuan,status,waktu_beli,waktu_masuk
T00001,C008,P18,1,195000,KIRIM,2026-03-02 09:59:56,2026-03-02 10:00:50
T00002,C051,P19,2,66750,kirim,2026-03-02 15:58:36,2026-03-02 15:58:50
T00003,C075,P18,1,195000,BAYAR ,2026-03-02 12:54:21,2026-03-02 12:54:59
T00004,C088,P02,1,78000,Bayar,2026-03-02 15:50:16,2026-03-02 15:50:57
T00005,C088,P17,2,156750,Batal,2026-03-02 10:17:18,2026-03-02 10:46:59
T00006,C065,P15,2,245000, kirim ,2026-03-02 08:01:46,2026-03-02 08:31:42
T00007,C100,P20,3,430000, Bayar,2026-03-02 09:48:37,2026-03-02 09:49:26
T00008,C008,P12,1,1250000,bayar,2026-03-02 15:59:53,2026-03-02 16:57:25
T00009,C071,P18,1,165750,BAYAR ,2026-03-02 14:58:14,2026-03-02 14:58:57
T00010,C057,P07,2,198750,kirim,2026-03-02 14:29:21,2026-03-02 14:30:04
T00011,C010,P01,2,32000,BAYAR ,2026-03-02 13:21:17,2026-03-02 13:21:55
T00012,C028,P11,1,540000,kirim,2026-03-02 08:38:41,2026-03-02 08:38:59
T00013,C053,P07,1,265000,bayar,2026-03-02 08:51:30,2026-03-02 08:51:58
T00014,C055,P04,1,15750,BAYAR ,2026-03-02 10:15:47,2026-03-02 10:16:22
T00015,C012,P18,3,195000,kirim,2026-03-02 08:53:28,2026-03-02 08:54:03
T00016,C034,P13,3,288750,Batal,2026-03-02 08:32:01,2026-03-02 08:32:02
T00017,C028,P18,3,195000, Bayar,2026-03-02 14:01:28,2026-03-02 14:01:38
T00018,C011,P17,2,165000,batal,2026-03-02 15:45:41,2026-03-02 15:45:45
T00019,C011,P04,1,18900, Bayar,2026-03-02 13:11:07,2026-03-02 13:11:46
T00020,C059,P08,1,549000,kirim,2026-03-02 10:25:03,2026-03-02 10:25:46
T00021,C045,P04,2,21000, Bayar,2026-03-02 08:40:00,2026-03-02 08:40:33
T00022,C002,P18,1,185250, kirim ,2026-03-02 14:24:13,2026-03-02 14:25:05
T00023,C035,P09,1,320000, Bayar,2026-03-02 09:03:02,2026-03-02 09:16:42
T00024,,P09,1,304000,bayar,2026-03-02 12:36:01,2026-03-02 12:36:56
T00025,C072,P09,1,320000, kirim ,2026-03-02 09:28:14,2026-03-02 09:28:50
T00026,C040,P12,1,1250000, Bayar,2026-03-02 13:18:07,2026-03-02 13:18:35
T00027,C096,P04,1,21000,batal,2026-03-02 11:13:09,2026-03-02 11:13:36
T00028,C053,P14,2,310000,KIRIM,2026-03-02 08:13:32,2026-03-02 08:13:54
T00029,,P13,1,385000,BAYAR ,2026-03-02 15:56:19,2026-03-02 15:56:50
T00030,C083,P09,1,288000,bayar,2026-03-02 15:52:03,2026-03-02 15:52:53
T00031,C077,P06,1,170100,Bayar,2026-03-02 13:17:04,2026-03-02 13:36:35
T00032,C001,P13,1,385000,KIRIM,2026-03-02 13:14:53,2026-03-02 13:14:56
T00033,C039,P11,1,612000, Bayar,2026-03-02 13:40:19,2026-03-02 13:41:14
T00034,C023,P05,1,71250,KIRIM,2026-03-02 09:44:46,2026-03-02 09:45:11
T00034,C023,P05,1,71250,KIRIM,2026-03-02 09:44:46,2026-03-02 09:45:11
T00035,C042,P10,1,213750,BAYAR ,2026-03-02 09:54:47,2026-03-02 09:55:25
T00036,C080,P06,1,189000, kirim ,2026-03-02 13:59:49,2026-03-02 14:00:22
T00037,C099,P05,1,63750,BAYAR ,2026-03-02 08:13:20,2026-03-02 08:13:51
T00038,C097,P13,2,385000,Bayar,2026-03-02 10:13:14,2026-03-02 10:13:59
T00039,C016,P17,1,123750,Batal,2026-03-02 12:13:42,2026-03-02 12:13:58
T00040,C071,P20,1,430000,Bayar,2026-03-02 15:25:06,2026-03-02 15:25:39
T00041,C036,P09,1,304000,kirim,2026-03-02 14:58:14,2026-03-02 14:58:46
T00042,C020,P18,2,195000,Bayar,2026-03-02 08:44:00,2026-03-02 08:44:15
T00043,C099,P14,1,310000,Bayar,2026-03-02 08:34:00,2026-03-02 08:34:27
T00044,C096,P10,2,285000,Bayar,2026-03-02 14:51:29,2026-03-02 14:52:23
T00045,C093,P01,1,24000,kirim,2026-03-02 11:32:22,2026-03-02 11:33:06
T00046,C055,P13,1,288750,BAYAR ,2026-03-02 13:23:15,2026-03-02 13:23:17
T00047,C036,P07,2,225250,KIRIM,2026-03-02 12:08:19,2026-03-02 12:09:08
T00048,C009,P18,2,195000,bayar,2026-03-02 08:28:26,2026-03-02 09:10:22
T00049,C015,P01,1,32000,Bayar,2026-03-02 13:39:19,2026-03-02 13:39:28
T00050,C100,P06,2,179550,kirim,2026-03-02 13:30:53,2026-03-02 13:31:41
T00051,C092,P19,1,89000,bayar,2026-03-02 14:09:55,2026-03-02 14:17:19
T00052,C045,P20,1,387000,kirim,2026-03-02 15:19:55,2026-03-02 15:20:32
T00053,C082,P14,2,232500,batal,2026-03-02 15:29:06,2026-03-02 15:29:34
T00054,C060,P09,1,304000,KIRIM,2026-03-02 13:36:22,2026-03-02 13:36:57
T00055,C073,P99,1,32300,KIRIM,2026-03-02 10:32:19,2026-03-02 10:37:28
T00056,C077,P07,2,251750,bayar,2026-03-02 11:13:46,2026-03-02 11:14:08
T00057,C089,P08,1,411750,KIRIM,2026-03-02 14:33:15,2026-03-02 14:33:51
T00058,C048,P08,1,494100,KIRIM,2026-03-02 11:40:51,2026-03-02 11:41:11
T00059,C016,P12,2,1125000,bayar,2026-03-02 14:23:51,2026-03-02 14:24:11
T00060,C076,P06,3,179550,bayar,2026-03-02 09:44:36,2026-03-02 09:45:07
T00061,C036,P12,1,1250000, Bayar,2026-03-02 09:37:59,2026-03-02 09:38:45
T00062,C062,P16,1,125000,bayar,2026-03-02 08:56:01,2026-03-02 09:06:48
T00063,C081,P04,1,21000,BAYAR ,2026-03-02 15:28:59,2026-03-02 15:29:31
T00064,C077,P03,2,38000,Bayar,2026-03-02 10:15:32,2026-03-02 10:16:21
T00065,C095,P19,1,89000,BAYAR ,2026-03-02 11:54:11,2026-03-02 11:54:51
T00066,C058,P99,1,411750, Bayar,2026-03-02 09:34:55,2026-03-02 09:35:06
T00067,C081,P15,1,245000,KIRIM,2026-03-02 08:38:52,2026-03-02 08:39:09
T00068,C040,P05,1,71250,Bayar,2026-03-02 10:25:04,2026-03-02 10:25:09
T00069,C077,P13,1,327250, Bayar,2026-03-02 10:28:40,2026-03-02 10:29:12
T00069,C077,P13,1,327250, Bayar,2026-03-02 10:28:40,2026-03-02 10:29:12
T00070,C003,P08,3,521550,bayar,2026-03-02 14:08:15,2026-03-02 14:08:52
T00071,C075,P17,1,123750,bayar,2026-03-02 13:55:48,2026-03-02 13:56:06
T00072,C089,P11,1,612000,bayar,2026-03-02 14:05:58,2026-03-02 14:06:09
